                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                         "15140"          1.5000000000000000E+000          1.3500000000000001E+000          7.6000000000000001E-001                       "gfortran"                         "10.2.0"            "x86_64-linux-21.4.1"                       "20220830" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                               5          2.2290276572852617E+003          7.5999995995941916E-001          4.9689175481752583E+000          1.5668421953183028E+002          1.7409357725758917E+002          1.9283111522288066E+000          1.8376836750462120E+000         -2.3086359485686900E-001         -1.0000000000000000E+000          1.5000000000000000E+000          1.3500000000000001E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.0000000000000000E+000          1.6154972451266075E+052         -4.0332234621907631E+033          0.0000000000000000E+000         -4.0332234621907631E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              10          6.3474396821181017E+003          7.5999988597935852E-001          4.9689172257183758E+000          1.5668422461582566E+002          1.7409358290647293E+002          1.9283110270914510E+000          1.8376835557901074E+000         -2.3086622282794594E-001         -1.0000000000000000E+000          1.5000000000000000E+000          1.3500000000000001E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.0000000000000000E+000          1.6154971927079256E+052         -4.0332242255851844E+033          0.0000000000000000E+000         -4.0332242255851844E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              15          1.6595366691750154E+004          7.5999970189324784E-001          4.9689164233422174E+000          1.5668423726643906E+002          1.7409359696271002E+002          1.9283107157095698E+000          1.8376832590426664E+000         -2.3092683852074203E-001         -1.0000000000000000E+000          1.5000000000000000E+000          1.3500000000000001E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.0000000000000000E+000          1.6154970622734244E+052         -4.0332261251560708E+033          0.0000000000000000E+000         -4.0332261251560708E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              20          4.2095488428357770E+004          7.5999924382781681E-001          4.9689144267720735E+000          1.5668426874525028E+002          1.7409363193916701E+002          1.9283099408912239E+000          1.8376825206395189E+000         -2.3086778013308337E-001         -1.0000000000000000E+000          1.5000000000000000E+000          1.3500000000000001E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.0000000000000000E+000          1.6154967377103551E+052         -4.0332308519042711E+033          0.0000000000000000E+000         -4.0332308519042711E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              25          1.0554795134799322E+005          7.5999810401270018E-001          4.9689094586573130E+000          1.5668434707483553E+002          1.7409371897203945E+002          1.9283080128916126E+000          1.8376806832527433E+000         -2.3067757879231277E-001         -1.0000000000000000E+000          1.5000000000000000E+000          1.3500000000000001E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.0000000000000000E+000          1.6154959300917786E+052         -4.0332426136156686E+033          0.0000000000000000E+000         -4.0332426136156686E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              30          2.6343798388018046E+005          7.5999526777715887E-001          4.9688970963401786E+000          1.5668454198533036E+002          1.7409393553925594E+002          1.9283032153891859E+000          1.8376761112251001E+000         -2.3038953266878903E-001         -1.0000000000000000E+000          1.5000000000000000E+000          1.3500000000000001E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.0000000000000000E+000          1.6154939204671713E+052         -4.0332718808228299E+033          0.0000000000000000E+000         -4.0332718808228299E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              35          6.5631890963067254E+005          7.5998821024871788E-001          4.9688663345812216E+000          1.5668502699381403E+002          1.7409447443757114E+002          1.9282912775290215E+000          1.8376647344248815E+000         -2.2969934829515520E-001         -1.0000000000000000E+000          1.5000000000000000E+000          1.3500000000000001E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.0000000000000000E+000          1.6154889198090243E+052         -4.0333447088911051E+033          0.0000000000000000E+000         -4.0333447088911051E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              40          1.6339323747941367E+006          7.5997064844580531E-001          4.9687897872645053E+000          1.5668623390462199E+002          1.7409581544957993E+002          1.9282615714525837E+000          1.8376364244855565E+000         -2.2908934404997935E-001         -1.0000000000000000E+000          1.5000000000000000E+000          1.3500000000000001E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.0000000000000000E+000          1.6154764761438162E+052         -4.0335259401416293E+033          0.0000000000000000E+000         -4.0335259401416293E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              45          4.0665475124296881E+006          7.5992694649833137E-001          4.9685992993187380E+000          1.5668923742241080E+002          1.7409915269156755E+002          1.9281876479015034E+000          1.8375659752207349E+000         -2.3121957943823412E-001         -1.0000000000000000E+000          1.5000000000000000E+000          1.3500000000000001E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.0000000000000000E+000          1.6154455096753248E+052         -4.0339769740153840E+033          0.0000000000000000E+000         -4.0339769740153840E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
