                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                         "15140"          1.5000000000000000E+000          1.3500000000000001E+000          5.2000000000000002E-001                       "gfortran"                         "10.2.0"            "x86_64-linux-21.4.1"                       "20220830" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                              50          7.0480272321309596E+006          5.1976161153588030E-001          3.8570524466355924E+000          1.7783956266212118E+002          1.9759951406902329E+002          1.4968244442514715E+000          1.4264761381645847E+000         -9.9926195547413981E-003         -1.0000000000000000E+000          1.4999999999999987E+000          1.3500000000000003E+000         -2.6273312618619123E+001         -2.6273312618619123E+001         -2.6875372609947085E+001         -9.8999999999999986E+001         -2.6398251355227423E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          2.5000000000000000E-001          1.4233217919535414E+052         -9.7860979772625087E+033          0.0000000000000000E+000         -9.7860979772625075E+033         -7.0286130609108467E+017          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              55          1.5793354211146638E+007          5.1946559145815885E-001          3.8555878349810038E+000          1.7787333717023097E+002          1.9763704130025641E+002          1.4962560655332000E+000          1.4259344723184872E+000         -9.0188172493666802E-003         -1.0000000000000000E+000          1.4999999999999987E+000          1.3500000000000003E+000         -2.4954127177816790E+001         -2.4954127177816790E+001         -2.5556187169144753E+001         -9.8999999999999986E+001         -2.5079065914425090E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          2.5000000000000000E-001          1.4230515322610549E+052         -9.7969414317994908E+033          0.0000000000000000E+000         -9.7969414317994758E+033         -1.4655018416777038E+019          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              60          3.3334139698638484E+007          5.1887108140758187E-001          3.8526455507053003E+000          1.7794124557658279E+002          1.9771249508509095E+002          1.4951142394660808E+000          1.4248463102130837E+000         -6.5540911249297625E-003         -1.0000000000000000E+000          1.4999999999999938E+000          1.3500000000000014E+000         -2.0924326726745278E+001         -2.0924326726745278E+001         -2.1526386718073240E+001         -9.8999999999999986E+001         -2.1049265463353578E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          2.5000000000000000E-001          1.4225084475962305E+052         -9.8214344526292475E+033          0.0000000000000000E+000         -9.8214344524723441E+033         -1.5690323713668403E+023          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              65          5.0307899022655673E+007          5.1829470121645682E-001          3.8497919192944479E+000          1.7800718228327676E+002          1.9778575788468643E+002          1.4940068169795580E+000          1.4237909354596598E+000         -3.9915688737563000E-003         -1.0000000000000000E+000          1.4999999987663928E+000          1.3500000003084018E+000         -1.5436940108178227E+001         -1.5436940108178227E+001         -1.6039000099506190E+001         -9.8999999999999986E+001         -1.5561878844786527E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          2.5000000000000000E-001          1.4219815276628697E+052         -9.8473673071785552E+033          0.0000000000000000E+000         -9.8473191284623602E+033         -4.8178716194488093E+028          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              70          6.6530818110370062E+007          5.1774857268568963E-001          3.8470747443248183E+000          1.7807209710152316E+002          1.9785172115217955E+002          1.4929419000416078E+000          1.4227963189638178E+000         -1.4774872376219484E-003         -1.0000000000000000E+000          1.4999634249858675E+000          1.3500091437535326E+000         -1.1007413412806944E+001         -1.1007413412806944E+001         -1.1609473404134906E+001         -9.8999999999999986E+001         -1.1132352149415244E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          2.5000000000000000E-001          1.4214614319656449E+052         -1.1166497395696555E+034          0.0000000000000000E+000         -9.8716642120182748E+033         -1.2948331836782793E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              75          7.8792015325648189E+007          5.1776968167998250E-001          3.8462570771152893E+000          1.7823997595252717E+002          1.9758861966990955E+002          1.4918624087231236E+000          1.4232446951633266E+000         -5.5408337003013861E-004         -1.0000000000000000E+000          1.4972710452888573E+000          1.3506524594004388E+000         -9.3852613285859334E+000         -9.3852613285859334E+000         -1.0060124447292656E+001         -9.8999999999999986E+001         -9.4884131072300164E+000         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          2.1141552760436416E-001          1.4199457857527392E+052         -6.6744668014599105E+034          0.0000000000000000E+000         -9.8569668606810263E+033         -5.6887701153918080E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              80          8.2999323492071137E+007          5.1799629009660497E-001          3.8466456886095326E+000          1.7833031246314638E+002          1.9737182471322231E+002          1.4914751315094021E+000          1.4239186077441766E+000         -5.0685330955292196E-004         -1.0000000000000000E+000          1.4952760483232885E+000          1.3510187956340418E+000         -9.2983406088137901E+000         -9.2983406088137901E+000         -1.0060124447290965E+001         -9.8999999999999986E+001         -9.3808706821735495E+000         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.7306775555347251E-001          1.4189158715653762E+052         -8.2568660997585355E+034          0.0000000000000000E+000         -9.8283812556614958E+033         -7.2740279741923863E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              85          8.4377974232044622E+007          5.1808506251203401E-001          3.8468204557864558E+000          1.7836051435221307E+002          1.9729431391856872E+002          1.4913544077378631E+000          1.4241690512186584E+000         -4.9989709056346137E-004         -1.0000000000000000E+000          1.4945685190573679E+000          1.3511388366910690E+000         -9.2849910012690611E+000         -9.2849910012690611E+000         -1.0060124447289166E+001         -9.8999999999999986E+001         -9.3647783327708769E+000         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.6782882498853011E-001          1.4185491139028907E+052         -8.5255566661146206E+034          0.0000000000000000E+000         -9.8172523320372501E+033         -7.5438314329108948E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              90          8.5087665644791037E+007          5.1813259091140274E-001          3.8469165367302023E+000          1.7837612428505915E+002          1.9725362686159824E+002          1.4912931574927273E+000          1.4243016972159459E+000         -4.9610552921713566E-004         -1.0000000000000000E+000          1.4941978701237122E+000          1.3512006305195419E+000         -9.2804114214876794E+000         -9.2804114214876794E+000         -1.0060124447288088E+001         -9.8999999999999986E+001         -9.3592809852826555E+000         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.6606838958420136E-001          1.4183568617906203E+052         -8.6186450067000748E+034          0.0000000000000000E+000         -9.8118001209745225E+033         -7.6374649946026228E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              95          8.5767281980075628E+007          5.1817905706613065E-001          3.8470117739916643E+000          1.7839110076963692E+002          1.9721426545302828E+002          1.4912350099157463E+000          1.4244306546213092E+000         -4.9542475688588432E-004         -1.0000000000000000E+000          1.4938397087155841E+000          1.3512598056687632E+000         -9.2759341011645304E+000         -9.2759341011645304E+000         -1.0060124447286880E+001         -9.8999999999999986E+001         -9.3539175402851580E+000         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.6436511725005482E-001          1.4181710449577523E+052         -8.7106389869350752E+034          0.0000000000000000E+000         -9.8066017202283331E+033         -7.7299788149122422E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             100          8.6441644717110649E+007          5.1822597448837704E-001          3.8471090516096966E+000          1.7840598267647400E+002          1.9717487513526325E+002          1.4911777678021754E+000          1.4245602584409796E+000         -4.9379610004950157E-004         -1.0000000000000000E+000          1.4934816485305940E+000          1.3513185233798031E+000         -9.2734613615976809E+000         -9.2734613615976809E+000         -1.0060124447285411E+001         -9.8999999999999986E+001         -9.3509600780794102E+000         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.6343193184617702E-001          1.4179852565324899E+052         -8.7605305835022322E+034          0.0000000000000000E+000         -9.8013718582180704E+033         -7.7803933976804250E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             105          8.7113059665601790E+007          5.1827345460001606E-001          3.8472085466382899E+000          1.7842081840519191E+002          1.9713534415028926E+002          1.4911212185007943E+000          1.4246908514743502E+000         -4.9186696663720971E-004         -1.0000000000000000E+000          1.4931226595764084E+000          1.3513769844227530E+000         -9.2715232023173595E+000         -9.2715232023173595E+000         -1.0060124447283776E+001         -9.8999999999999986E+001         -9.3486442878786953E+000         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.6270419670228073E-001          1.4177989684916372E+052         -8.7991817047182177E+034          0.0000000000000000E+000         -9.7961041151532431E+033         -7.8195712932028930E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             110          8.7783875685703054E+007          5.1832159771569342E-001          3.8473103998376885E+000          1.7843565639215510E+002          1.9709556525357991E+002          1.4910651427548713E+000          1.4248227557711826E+000         -4.9161276090256892E-004         -1.0000000000000000E+000          1.4927617502857713E+000          1.3514353933161660E+000         -9.2674547694474061E+000         -9.2674547694474061E+000         -1.0060124447281792E+001         -9.8999999999999986E+001         -9.3437896764091271E+000         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.6118711500262065E-001          1.4176116754209436E+052         -8.8840937941650066E+034          0.0000000000000000E+000         -9.7907988238446409E+033         -7.9050139117805426E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             115          8.8447593722167164E+007          5.1836973277062059E-001          3.8474129722159573E+000          1.7845034289710694E+002          1.9705601850244983E+002          1.4910100107077779E+000          1.4249542747832666E+000         -4.9201894619757959E-004         -1.0000000000000000E+000          1.4924032175208906E+000          1.3514931841781714E+000         -9.2674547694474061E+000         -9.2674547694474061E+000         -1.0060124447279570E+001         -9.8999999999999986E+001         -9.3437896764095552E+000         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.6118711500344554E-001          1.4174256323105715E+052         -8.8811248432049687E+034          0.0000000000000000E+000         -9.7854986147244243E+033         -7.9025749817325267E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
