model_number age period_days binary_separation v_orb_1 v_orb_2 rl_1 rl_2 rl_relative_overflow_1 rl_relative_overflow_2 star_1_mass star_2_mass lg_mtransfer_rate lg_mstar_dot_1 mstar_dot_1 lg_mstar_dot_2 lg_system_mdot_1 lg_system_mdot_2 lg_wind_mdot_1 lg_wind_mdot_2 fixed_xfer_fraction eff_xfer_fraction J_orb Jdot jdot_mb jdot_gr jdot_ml jdot_ls jdot_missing_wind extra_jdot donor_index point_mass_index
55 2807586868.42322 2.64277448271134 10.69466408324 117.614557417786 87.1218943835451 3.77793663894628 4.33292767455235 -0.74780737589557 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.74002761358422E+052 -3.12988914398256E+033 -3.01917785608931E+033 -1.10711287893253E+032 0 0 0 0 1 2
60 3441275832.44976 2.61261353389964 10.613139182008 118.065421758478 87.4558679692428 3.74913761272594 4.29989797881211 -0.741457338912328 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.73338285349189E+052 -3.4596236186131E+033 -3.34595391205887E+033 -1.13669706554228E+032 0 0 0 0 1 2
65 4056678981.51976 2.58037691294445 10.5256561025193 118.555051750384 87.8185568521362 3.71823383410179 4.26445433577469 -0.734562100451116 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.72622401698519E+052 -3.84762168969604E+033 -3.73066406044153E+033 -1.16957629254513E+032 0 0 0 0 1 2
70 4651189265.70496 2.54591227222397 10.4317227131205 119.087625371277 88.2130558305757 3.68505145542509 4.22639735901294 -0.727091249134379 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.718504143721E+052 -4.30540174690132E+033 -4.18477658774501E+033 -1.20625159156312E+032 0 0 0 0 1 2
75 5222568576.72069 2.50905373027113 10.330794418948 119.667933951637 88.6429140382494 3.64939809618979 4.1855064067061 -0.718994777594484 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.71017056038708E+052 -4.8482115533354E+033 -4.72348020200526E+033 -1.24731351330144E+032 0 0 0 0 1 2
80 5762847263.32115 2.47008974999928 10.2235619705742 120.293880770654 89.1065783486326 3.61151776704226 4.14206133544883 -0.710362313694615 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.70127172184772E+052 -5.48610695014192E+033 -5.35677954857266E+033 -1.2932740156926E+032 0 0 0 0 1 2
85 6242239153.18812 2.43143801492418 10.1166303070194 120.927956156533 89.5762638196544 3.57374369144129 4.09873812672564 -0.701738246542744 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.69235124921424E+052 -6.18986164016716E+033 -6.05568475497426E+033 -1.34176885192894E+032 0 0 0 0 1 2
90 6665294469.156 2.39345882453421 10.0110059278117 121.564227161404 90.0475756751141 3.53643141972628 4.05594456236362 -0.693233784157506 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.68349342931874E+052 -6.95143931597687E+033 -6.81223993753507E+033 -1.39199378441802E+032 0 0 0 0 1 2
95 7042499611.5976 2.35616116881698 9.90673184401793 122.202319392585 90.5202365871002 3.49959614574377 4.01369806823421 -0.684855605181536 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.67470289175912E+052 -7.77162347937625E+033 -7.62722953193058E+033 -1.44393947445667E+032 0 0 0 0 1 2
100 7376731334.29762 2.31946992942023 9.8036148839583 122.843316079614 90.9950489478625 3.46316963075706 3.97192038111094 -0.676636444562519 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.66596428847459E+052 -8.64909925793774E+033 -8.49931423695496E+033 -1.49785020982782E+032 0 0 0 0 1 2
105 7674533073.79096 2.28353412442977 9.70209260212099 123.484357088793 91.4698941398463 3.42730644279366 3.93078877556141 -0.668461807035249 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.65731581304081E+052 -9.5978464052281E+033 -9.4424835313557E+033 -1.55362873872398E+032 0 0 0 0 1 2
110 7915290913.36026 2.25180543616972 9.61201235399398 124.061632750921 91.897505741423 3.39548520304311 3.89429289340913 -0.661033978749495 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.64960409700004E+052 -1.05404377741964E+034 -1.0379750724057E+034 -1.60687050139409E+032 0 0 0 0 1 2
115 8111593095.66521 2.22383139669778 9.53224032385263 124.579665697566 92.2812338500487 3.36730538616542 3.8619733708543 -0.654315458547662 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.64274463669903E+052 -1.1446291794617E+034 -1.12807754763414E+034 -1.65516318275616E+032 0 0 0 0 1 2
120 8285354087.41599 2.1972319580019 9.45607735320028 125.08036635199 92.6521232236964 3.34040048526167 3.83111605352791 -0.647818449888181 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.6361686780683E+052 -1.23739632255829E+034 -1.22037141027524E+034 -1.70249122830459E+032 0 0 0 0 1 2
